Method , P = 24, P = 48, P = 72, P = 96
"Cheby-Jac(2)+2crs,(7,5,3,1)", --, 0.6667150000000001, 0.594325, 0.53653
"Cheby-Jac(2),(7,5,3,1)", 0.92524, 0.526045, 0.39993900000000004, 0.35998250000000004
"Cheby-ASM(2),(7,3,1)", --, 0.3343, 0.26162, 0.240952
"Cheby-RAS(2),(7,3,1)", --, 0.4046695, 0.31705099999999997, 0.298119
"Cheby-ASM(1),(7,3,1)", 0.579705, 0.338731, 0.2935375, 0.2569065
"Cheby-RAS(1),(7,3,1)", 0.688255, 0.407226, 0.299959, 0.2548765
"Cheby-ASM(3),(7,3,1)", 0.558895, 0.35404250000000004, 0.296919, 0.2545345
"Cheby-RAS(3),(7,3,1)", 0.58693, 0.3879145, 0.2759565, 0.25878500000000004
"Cheby-ASM(2),(7,5,3,1)", --, 0.3524095, 0.25771550000000004, 0.2202625
"Cheby-RAS(2),(7,5,3,1)", --, 0.3304015, 0.2696355, 0.2348925
"SEMFEM", --, 0.3255735, 0.339406, 0.2053615
"Cheby-ASM(2),(7,6)+SEMFEM", --, 0.4305505, --, 0.37346749999999995
"Cheby-ASM(2),(7,5)+SEMFEM", --, 0.41892399999999996, --, 0.334779
"Cheby-ASM(2),(7,3)+SEMFEM", --, 0.470832, 0.5152100000000001, 0.3783385
