Method , P = 3, P = 6, P = 12, P = 18
"Cheby-Jac(2)+2crs,(7,5,3,1)", 0.799695, 0.4590045, 0.38910449999999996, 0.278596
"Cheby-Jac(2),(7,5,3,1)", 0.7250650000000001, 0.3571845, 0.30086, 0.2641815
"Cheby-ASM(2),(7,3,1)", 0.297469, 0.181847, 0.127176, 0.135055
"Cheby-RAS(2),(7,3,1)", 0.279329, 0.1696325, 0.117948, 0.11873399999999999
"Cheby-ASM(1),(7,3,1)", 0.3199735, 0.192069, 0.1635895, 0.119061
"Cheby-RAS(1),(7,3,1)", 0.368931, 0.18558000000000002, 0.12292149999999999, 0.1160955
"Cheby-ASM(3),(7,3,1)", 0.3011745, 0.1880145, 0.13452699999999998, 0.1184055
"Cheby-RAS(3),(7,3,1)", 0.2692385, 0.165166, 0.11601600000000001, 0.1079155
"Cheby-ASM(2),(7,5,3,1)", --, 0.173737, 0.127032, 0.1417785
"Cheby-RAS(2),(7,5,3,1)", --, 0.151818, 0.1109205, 0.1020335
"SEMFEM", --, 0.23221899999999998, 0.206543, 0.1714265
"Cheby-ASM(2),(7,6)+SEMFEM", --, 0.193832, 0.163963, 0.152424
"Cheby-ASM(2),(7,5)+SEMFEM", --, 0.2002145, 0.14077699999999999, 0.13902250000000002
"Cheby-ASM(2),(7,3)+SEMFEM", --, 0.163662, 0.1348415, 0.1376415
