Method , P = 3, P = 6, P = 12, P = 18
"Cheby-Jac(2)+2crs,(7,5,3,1)", 17.4315, 17.695, 17.5185, 17.4065
"Cheby-Jac(2),(7,5,3,1)", 17.44, 17.716, 17.5115, 17.383
"Cheby-ASM(2),(7,3,1)", 6.3335, 6.378, 6.3265, 6.1595
"Cheby-RAS(2),(7,3,1)", 6.807, 6.9285, 6.804, 6.8755
"Cheby-ASM(1),(7,3,1)", 8.4335, 8.4495, 8.359, 8.211
"Cheby-RAS(1),(7,3,1)", 9.085, 9.2655, 9.05, 9.159
"Cheby-ASM(3),(7,3,1)", 5.3215, 5.3885, 5.434, 5.2035
"Cheby-RAS(3),(7,3,1)", 5.4965, 5.612, 5.5045, 5.5675
"Cheby-ASM(2),(7,5,3,1)", --, 4.664, 4.649, 4.5855
"Cheby-RAS(2),(7,5,3,1)", --, 4.8215, 4.7475, 4.7875
"SEMFEM", --, 10.731, 10.7955, 10.6665
"Cheby-ASM(2),(7,6)+SEMFEM", --, 6.5725, 6.586, 6.536
"Cheby-ASM(2),(7,5)+SEMFEM", --, 6.4385, 6.1335, 6.06
"Cheby-ASM(2),(7,3)+SEMFEM", --, 6.552, 6.545, 6.3985
