Method , P = 3, P = 6, P = 12, P = 18
"Cheby-Jac(2)+2crs,(7,5,3,1)", 53298510.05695921, 46429340.01736367, 27385028.957516555, 25498423.04507842
"Cheby-Jac(2),(7,5,3,1)", 58784456.565963045, 59664615.90578538, 35417263.84364821, 26889690.10572908
"Cheby-ASM(2),(7,3,1)", 143284012.78788716, 117193442.83930996, 83786547.77630998, 52599005.34350203
"Cheby-RAS(2),(7,3,1)", 152589068.80416998, 125632033.9557573, 90341828.60243498, 59829186.809731565
"Cheby-ASM(1),(7,3,1)", 133206506.16379169, 110956354.2268664, 65136442.13106587, 59664866.46900888
"Cheby-RAS(1),(7,3,1)", 115529874.14990878, 114836059.92025001, 86686527.5806104, 61188923.486842014
"Cheby-ASM(3),(7,3,1)", 141521118.15575355, 113349108.71235995, 79208173.82384206, 59995174.77369435
"Cheby-RAS(3),(7,3,1)", 158307790.30487838, 129029437.05120908, 91846279.82347262, 65827046.7788841
"Cheby-ASM(2),(7,5,3,1)", --, 122664003.63768224, 83881525.91473015, 50104625.64258098
"Cheby-RAS(2),(7,5,3,1)", --, 140373842.36388305, 96065542.43805248, 69621826.8183162
"SEMFEM", --, 91772318.37188172, 51590409.74518623, 41439092.9445953
"Cheby-ASM(2),(7,6)+SEMFEM", --, 109947150.10937306, 64988064.3803785, 46605250.26679963
"Cheby-ASM(2),(7,5)+SEMFEM", --, 106442220.71827964, 75691611.55586496, 51097906.21422192
"Cheby-ASM(2),(7,3)+SEMFEM", --, 130215175.17811099, 79023431.21368422, 51610587.40762536
