Method , P = 24, P = 48, P = 72, P = 96
"Cheby-Jac(2)+2crs,(7,5,3,1)", --, 0.8542405675588519, 0.8843225507929163, 0.9011583695226735
"Cheby-Jac(2),(7,5,3,1)", 0.8015938207023764, 0.8154245359237328, 0.8329970320473873, 0.8558429923676846
"Cheby-ASM(2),(7,3,1)", --, 0.7093164822016154, 0.7440772876691385, 0.7827617118762243
"Cheby-RAS(2),(7,3,1)", --, 0.7586808494339207, 0.785976073250045, 0.8195938534612016
"Cheby-ASM(1),(7,3,1)", 0.6830310244003415, 0.7132739548491281, 0.7625209726184898, 0.7878235856235635
"Cheby-RAS(1),(7,3,1)", 0.732998670550886, 0.7606672953102209, 0.7769145116499254, 0.796970297379319
"Cheby-ASM(3),(7,3,1)", 0.6714248651356695, 0.7182682869994421, 0.7675763423694678, 0.7884962549281138
"Cheby-RAS(3),(7,3,1)", 0.6770321844172219, 0.7488028934211018, 0.7549088352693268, 0.7981876847576173
"Cheby-ASM(2),(7,5,3,1)", --, 0.7192314622619425, 0.7402562127617469, 0.7644265365189263
"Cheby-RAS(2),(7,5,3,1)", --, 0.7063360789826924, 0.7528014671658592, 0.7795012612152367
"SEMFEM", --, 0.7002934821169413, 0.75063935228016, 0.7482975143831732
"Cheby-ASM(2),(7,6)+SEMFEM", --, 0.7532531027138512, --, 0.797641026327592
"Cheby-ASM(2),(7,5)+SEMFEM", --, 0.7504320592756683, --, 0.7741106819722863
"Cheby-ASM(2),(7,3)+SEMFEM", --, 0.7804397322187108, 0.810710195842472, 0.8026938839161227
